STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure_Desc,SECTOR,Sector_Desc,INDUSTRY,Industry_Type,TSEST,Adjustment_Type,REGION,Region_Desc,FREQ,Frequency,TIME_PERIOD,Time_Period_Desc,OBS_VALUE,Observation_Value,UNIT_MEASURE,Unit_of_Measure,UNIT_MULT,Unit_of_Multiplier,OBS_STATUS,Observation_Status,OBS_COMMENT,Observation_Comment,DECIMALS,Decimals_Desc
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q3,,9.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,7,Private and Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q4,,9.6,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q2,,1.9,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q2,,38.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q3,,36.8,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q4,,36.3,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q3,,2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2022-Q4,,2.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M2,Standard Error of Job Vacancies,2,Public,TOT,All Industries,10,Original,AUS,Australia,Q,Quarterly,2023-Q1,,2.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2021-Q1,,27.8,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2021-Q2,,29.7,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2021-Q3,,31.9,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2021-Q4,,34.4,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2022-Q1,,37.7,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2022-Q2,,41.5,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2022-Q3,,44.7,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2022-Q4,,46.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q2,,375.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q3,,356.6,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q2,,46.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q3,,44.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q4,,42.5,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,2,Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q1,,40.2,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2020-Q2,,210.8,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2020-Q3,,221,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2020-Q4,,237.4,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2021-Q1,,257.7,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2021-Q2,,278.5,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2021-Q3,,295.5,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2021-Q4,,372.4,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2022-Q1,,388.1,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2022-Q2,,402.6,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2022-Q3,,410.4,,NUM,Number,3,Thousands,,,"Larger than usual point-to-point changes occurred during the COVID-19 period. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period.
",,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,1,Private,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2022-Q4,,407.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q2,,421.7,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q3,,401.1,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2023-Q4,,381.4,,NUM,Number,3,Thousands,,,,,1,One
DATAFLOW,ABS:JV(1.0),Job Vacancies,I,M1,Job Vacancies,7,Private and Public,TOT,All Industries,30,Trend,AUS,Australia,Q,Quarterly,2024-Q1,,362.3,,NUM,Number,3,Thousands,,,,,1,One
